CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter_Max,Cycle,Generation,Local_Best_Obj,,,
2.02003E+13,MDG-b_20_n500_m50,8,501.467s,500,50,1583961078,1500,10,55,1111.36,,,
2.02003E+13,MDG-b_20_n500_m50,9,502.906s,500,50,1583983291,1500,10,51,971.68,,,
2.02003E+13,MDG-a_1_n500_m50,0,502.768s,500,50,1583993112,1500,10,54,10.83,,,
2.02003E+13,MDG-a_1_n500_m50,1,503.782s,500,50,1583990059,1500,10,55,10.76,,,
2.02003E+13,MDG-a_1_n500_m50,2,500.287s,500,50,1583979724,1500,10,54,10.68,,,
2.02003E+13,MDG-a_1_n500_m50,3,501.284s,500,50,1583986352,1500,10,53,10.91,,,
2.02003E+13,MDG-a_1_n500_m50,4,507.672s,500,50,1583965908,1500,10,50,11.33,,,
2.02003E+13,MDG-a_1_n500_m50,5,500.159s,500,50,1583968222,1500,10,52,10.98,,,
2.02003E+13,MDG-a_1_n500_m50,6,501.749s,500,50,1583996443,1500,10,53,11.27,,,
2.02003E+13,MDG-a_1_n500_m50,7,500.533s,500,50,1583980497,1500,10,56,11.18,,,
2.02003E+13,MDG-a_1_n500_m50,8,503.524s,500,50,1583973436,1500,10,52,10.65,,,
2.02003E+13,MDG-a_1_n500_m50,9,512.412s,500,50,1583995350,1500,10,56,11.17,,,
2.02003E+13,MDG-a_2_n500_m50,0,503.956s,500,50,1583990400,1500,10,51,11.09,,,
2.02003E+13,MDG-a_2_n500_m50,1,500.766s,500,50,1583989470,1500,10,54,11.07,,,
2.02003E+13,MDG-a_2_n500_m50,2,502.15s,500,50,1583978072,1500,10,53,10.84,,,
2.02003E+13,MDG-a_2_n500_m50,3,502.938s,500,50,1583992004,1500,10,53,11.17,,,
2.02003E+13,MDG-a_2_n500_m50,4,508.761s,500,50,1583987879,1500,10,51,11.27,,,
2.02003E+13,MDG-a_2_n500_m50,5,506.299s,500,50,1583971145,1500,10,55,10.83,,,
2.02003E+13,MDG-a_2_n500_m50,6,510.055s,500,50,1583981960,1500,10,54,11.18,,,
2.02003E+13,MDG-a_2_n500_m50,7,508.012s,500,50,1583998085,1500,10,56,11.48,,,
2.02003E+13,MDG-a_2_n500_m50,8,508.905s,500,50,1583975037,1500,10,54,11.2,,,
2.02003E+13,MDG-a_2_n500_m50,9,501.562s,500,50,1583993911,1500,10,52,10.82,,,
2.02003E+13,MDG-a_3_n500_m50,0,513.671s,500,50,1583994290,1500,10,53,11.36,,,
2.02003E+13,MDG-a_3_n500_m50,1,515.315s,500,50,1583996291,1500,10,50,11.4,,,
2.02003E+13,MDG-a_3_n500_m50,2,501.24s,500,50,1583977034,1500,10,53,10.94,,,
2.02003E+13,MDG-a_3_n500_m50,3,506.145s,500,50,1583996630,1500,10,57,11.44,,,
